action interval,button state,x,y
0,Move,1321,74
0,Move,1322,71
0,Move,1322,70
0,Move,1323,68
0,Move,1323,67
0,Move,1323,66
0,Move,1323,66
0,Move,1323,65
1,Move,1323,63
0,Move,1323,63
1,Move,1325,61
0,Move,1326,57
48,Move,1326,63
0,Move,1326,67
0,Move,1326,73
0,Move,1325,80
0,Move,1323,90
0,Move,1320,99
0,Move,1318,106
0,Move,1316,114
0,Move,1316,115
0,Move,1315,116
69,Move,1315,117
0,Move,1315,119
0,Move,1315,120
0,Move,1315,121
0,Move,1315,122
0,Move,1315,124
23,Move,1313,124
0,Move,1312,121
1,Move,1312,119
0,Move,1310,118
0,Move,1310,117
21,Move,1311,117
0,Move,1311,120
0,Move,1311,123
0,Move,1311,125
0,Move,1311,128
0,Move,1311,130
0,Move,1311,130
0,Move,1311,132
0,Move,1312,133
14,Move,1312,133
0,Move,1309,130
1,Move,1309,130
0,Move,1308,130
0,Move,1307,129
0,Move,1306,129
10,Move,1306,129
0,Move,1305,136
0,Move,1305,138
